axis,criterion_id,criterion_name,scoring_mode,metric_id,metric_name,metric_role,metric_signal_type,system_rule,ai_validation_needed,evidence_quality_rule,reproducibility_rule,independence_rule,escalation_rule,downgrade_rule,notes
ステップ,J7,日本語聴解処理,ハイブリッド,M-J7-2,ほぼ自然速度の理解,主要,割合,ほぼ自然速度の発話理解を計算する。,いいえ,安定していればEQ=2を正当化しうる。,REP=0 成功が1つのリスニング項目のみ；REP=1 1つのリスニングタスク内；REP=2 複数タスク／入力タイプ；REP=3 文脈横断で安定。,IND は必要な反復／簡略化量を反映：0 強い支援，1 繰返しプロンプト，2 軽い足場，3 自立処理。,追加支援なしにより長い／速い日本語を扱える場合は引き上げる。,正答が過度の反復や選択肢手掛かりに依存する場合は引き下げる。,中位〜高位ステップの識別指標。
ステップ,J7,日本語聴解処理,ハイブリッド,M-J7-3,長めの説明理解,主要,割合／順序,複数文の説明後の遂行を測定し，必要に応じてAIが妥当性を検証する。,中,負荷と安定性に応じてEQ=2または3を正当化しうる。,REP=0 成功が1つのリスニング項目のみ；REP=1 1つのリスニングタスク内；REP=2 複数タスク／入力タイプ；REP=3 文脈横断で安定。,IND は必要な反復／簡略化量を反映：0 強い支援，1 繰返しプロンプト，2 軽い足場，3 自立処理。,追加支援なしにより長い／速い日本語を扱える場合は引き上げる。,正答が過度の反復や選択肢手掛かりに依存する場合は引き下げる。,ステップ5以上を支える。
ステップ,J7,日本語聴解処理,ハイブリッド,M-J7-4,言語負荷下での理解,補助,順序,語彙・構造負荷が上がると成績が落ちるかをAIが判定する。,はい,主に上限判断／引き下げ判断に使う。,REP=0 成功が1つのリスニング項目のみ；REP=1 1つのリスニングタスク内；REP=2 複数タスク／入力タイプ；REP=3 文脈横断で安定。,IND は必要な反復／簡略化量を反映：0 強い支援，1 繰返しプロンプト，2 軽い足場，3 自立処理。,追加支援なしにより長い／速い日本語を扱える場合は引き上げる。,正答が過度の反復や選択肢手掛かりに依存する場合は引き下げる。,診断指標。
ステップ,J7,日本語聴解処理,ハイブリッド,M-J7-5,明確化要求頻度,補助,割合,反復／簡略化要求の頻度を計算する。,いいえ,頻度が高い場合，タスク難度で説明できない限りEQに上限を設ける。,REP=0 成功が1つのリスニング項目のみ；REP=1 1つのリスニングタスク内；REP=2 複数タスク／入力タイプ；REP=3 文脈横断で安定。,IND は必要な反復／簡略化量を反映：0 強い支援，1 繰返しプロンプト，2 軽い足場，3 自立処理。,追加支援なしにより長い／速い日本語を扱える場合は引き上げる。,正答が過度の反復や選択肢手掛かりに依存する場合は引き下げる。,逆補助指標。
ステップ,J8,レジスターと語用論,AI検証,M-J8-1,丁寧体／普通体の適切さ,主要,順序,文脈に対するスタイル選択の適切さをAIが判定する。,はい,EQ=1 一般的な丁寧体／普通体が部分的に適切；EQ=2 選択がしばしば適切；EQ=3 設定をまたいで柔軟かつ文脈感受的。,REP=0 適切なレジスターが1つの狭い状況のみ；REP=1 1タスク内；REP=2 複数設定／タスク；REP=3 文脈横断で安定。,IND はレジスター選択が自発的か，プロンプト依存／直前のモデル依存かに基づく。,聞き手や課題に応じて柔軟にレジスターを切り替えられる場合は引き上げる。,丁寧形が正確でも，定型的で文脈感受的でない場合は引き下げる。,ステップ7〜8の中核。
ステップ,J8,レジスターと語用論,AI検証,M-J8-2,定型の丁寧表現の統制,補助,割合,一般的な丁寧表現の正確さを計算し，AIが定型使用と柔軟使用を区別する。,はい,EQ=1〜2を支えうるが，これ単独では高い語用論を正当化しない。,REP=0 適切なレジスターが1つの狭い状況のみ；REP=1 1タスク内；REP=2 複数設定／タスク；REP=3 文脈横断で安定。,IND はレジスター選択が自発的か，プロンプト依存／直前のモデル依存かに基づく。,聞き手や課題に応じて柔軟にレジスターを切り替えられる場合は引き上げる。,丁寧形が正確でも，定型的で文脈感受的でない場合は引き下げる。,定型統制と柔軟統制の区別。
ステップ,J8,レジスターと語用論,AI検証,M-J8-3,文脈に適したフレーミング,補助,順序,冒頭・結び・相互作用表現が場面／目的に適切かをAIが判定する。,はい,定型を超えて適切に使われればEQを引き上げる。,REP=0 適切なレジスターが1つの狭い状況のみ；REP=1 1タスク内；REP=2 複数設定／タスク；REP=3 文脈横断で安定。,IND はレジスター選択が自発的か，プロンプト依存／直前のモデル依存かに基づく。,聞き手や課題に応じて柔軟にレジスターを切り替えられる場合は引き上げる。,丁寧形が正確でも，定型的で文脈感受的でない場合は引き下げる。,語用論的補助。
ステップ,J8,レジスターと語用論,AI検証,M-J8-4,高度なレジスター感受性,主要,順序,聞き手との距離・役割・フォーマリティに応じた調整をAIが判定する。,はい,複数文脈で安定していればEQ=3を正当化しうる。,REP=0 適切なレジスターが1つの狭い状況のみ；REP=1 1タスク内；REP=2 複数設定／タスク；REP=3 文脈横断で安定。,IND はレジスター選択が自発的か，プロンプト依存／直前のモデル依存かに基づく。,聞き手や課題に応じて柔軟にレジスターを切り替えられる場合は引き上げる。,丁寧形が正確でも，定型的で文脈感受的でない場合は引き下げる。,高位ステップ指標。
ステップ,J9,自己モニタリングと修正,ハイブリッド,M-J9-1,自己修正数,主要,カウント,自発的な自己修正の数を数える。,いいえ,EQ=1 ある程度の自発的モニタリングが見られる；EQ=2 修正が有効かつ反復的；EQ=3 言い換えが正確さ／柔軟性を支える。,REP=0 修正が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は修正が自己主導（高）か，プロンプト依存（低）かに基づく。,外部修正なしに自己モニタリングが意味改善につながる場合は引き上げる。,修正が明示的モデル提示後の反復修正のみなら引き下げる。,補助的基準。
ステップ,J9,自己モニタリングと修正,ハイブリッド,M-J9-2,正確さのための言い換え,主要,順序,学習者が意味を改善するために言い換えているかをAIが判定する。,はい,言い換えが機能的であればEQ=2または3を正当化しうる。,REP=0 修正が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は修正が自己主導（高）か，プロンプト依存（低）かに基づく。,外部修正なしに自己モニタリングが意味改善につながる場合は引き上げる。,修正が明示的モデル提示後の反復修正のみなら引き下げる。,高次統制。
ステップ,J9,自己モニタリングと修正,ハイブリッド,M-J9-3,促し後の修正成功,補助,割合,最小限の促しの後に出力を修正できるかを測る。,中,EQ=1〜2を支えるが，これ単独では高い統制にはならない。,REP=0 修正が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は修正が自己主導（高）か，プロンプト依存（低）かに基づく。,外部修正なしに自己モニタリングが意味改善につながる場合は引き上げる。,修正が明示的モデル提示後の反復修正のみなら引き下げる。,促しあり補助のみ。
ステップ,J9,自己モニタリングと修正,ハイブリッド,M-J9-4,意味を保つ言い換え,補助,順序,言い換えが意図した意味を保っているかをAIが判定する。,はい,言い換えが正確かつ有効であればEQを引き上げる。,REP=0 修正が1回のみ；REP=1 1タスク内；REP=2 複数タスク；REP=3 文脈横断で安定。,IND は修正が自己主導（高）か，プロンプト依存（低）かに基づく。,外部修正なしに自己モニタリングが意味改善につながる場合は引き上げる。,修正が明示的モデル提示後の反復修正のみなら引き下げる。,高度な修正。
